8.16	75.23
96.09	3.46
51.17	79.96
1.53	99.77
23.74	14.43
6.97	14.86
4.14	99.68
9.30	24.18
61.46	22.81
11.70	87.15
33.33	5.21
13.53	6.03
46.50	51.07
91.27	4.26
47.43	43.62
4.48	35.89
0.76	32.77
78.10	2.26
82.22	36.53
57.63	70.52
39.80	60.93
7.51	59.60
21.82	28.31
24.48	83.46
73.98	92.26
67.53	19.14
88.59	8.99
64.07	97.55
48.92	29.51
37.88	98.47
48.97	74.87
18.51	68.50
84.83	57.32
34.30	70.14
7.54	14.66
61.29	13.56
99.53	31.82
99.17	18.68
86.47	34.03
71.73	4.59
24.99	49.63
4.40	5.69
12.74	56.52
14.08	69.50
51.99	46.43
57.68	99.94
60.32	63.62
24.90	71.36
62.90	0.53
28.06	54.00
19.62	62.02
37.13	59.18
37.15	41.93
31.87	34.00
91.47	90.80
94.36	9.60
39.21	92.21
45.09	34.27
27.83	6.52
33.96	3.62
23.91	85.52
32.99	33.38
66.60	9.12
42.38	7.41
18.81	46.32
13.27	73.36
32.75	96.43
11.30	51.51
68.34	23.95
93.57	68.56
2.97	60.31
48.02	27.36
49.60	9.71
49.45	76.02
56.23	62.14
18.77	45.55
94.48	86.66
33.79	83.72
57.43	50.79
28.23	24.64
77.85	87.53
33.68	98.63
46.39	10.69
64.02	4.93
56.76	61.28
15.78	40.96
29.57	53.07
59.44	6.23
70.15	73.52
26.19	76.43
96.59	88.24
53.20	73.73
34.08	91.30
35.79	43.08
9.02	41.75
49.49	81.15
92.10	27.61
47.21	54.32
33.55	2.31
6.93	85.39
